ls_states,ground_truth,observed_nb
"[0, 10, 13, 17, 19]",28,2
"[1, 34, 13, 17, 19]",13,2
"[1, 35, 19]",169,16
"[0, 10, 13, 18, 30]",60,10
"[0, 10, 14, 28, 30]",89,13
"[0, 11, 24, 28, 30]",22,9
"[0, 11, 25, 36]",189,32
"[1, 34, 13, 18, 30]",28,8
"[1, 34, 14, 28, 30]",41,6
"[0, 10, 13, 17]",23,3
"[1, 34, 13, 17]",9,3
"[1, 35]",288,39
"[2, 20, 16, 12, 8]",30,3
"[2, 20, 16, 15, 33]",15,2
"[2, 21, 33]",165,10
"[2, 20, 16, 12, 9]",8,1
"[2, 20, 18, 32, 27, 22]",1,0
"[3, 32, 27, 22]",310,33
"[2, 20, 16, 15]",4,0
"[2, 21]",46,3
"[4, 31, 16, 12, 8]",55,6
"[4, 31, 16, 15, 33]",28,0
"[4, 32, 26, 12, 8]",81,7
"[4, 32, 26, 15, 33]",41,4
"[4, 32, 27, 23, 8]",33,8
"[5, 37, 23, 8]",192,19
"[4, 32, 27, 22]",13,0
"[5, 37, 22]",97,4
"[4, 31, 16, 15]",15,1
"[4, 32, 26, 15]",25,0
"[6, 10, 13, 17, 19]",9,1
"[7, 24, 28, 29]",310,56
"[7, 24, 28, 31, 17, 19]",1,0
"[7, 24, 28, 30]",8,1
"[7, 25, 36]",102,4
"[6, 10, 13, 17]",199,24
"[7, 24, 28, 31, 17]",11,4
"[20, 16, 12, 8]",25,1
"[20, 16, 15, 33]",11,2
"[21, 33]",284,45
"[20, 16, 12, 9]",198,22
"[20, 18, 32, 27, 22]",12,2
"[20, 16, 15]",2,1
[21],58,11
"[34, 13, 17, 19]",4,1
"[35, 19]",46,5
"[34, 13, 18, 30]",15,1
"[34, 14, 28, 30]",25,7
"[34, 13, 17]",2,0
[35],58,6
