ls_states,ground_truth,observed_nb
"[0, 10, 13, 17, 19]",28,5
"[1, 34, 13, 17, 19]",13,3
"[1, 35, 19]",169,38
"[0, 10, 13, 18, 30]",60,13
"[0, 10, 14, 28, 30]",89,22
"[0, 11, 24, 28, 30]",22,5
"[0, 11, 25, 36]",189,33
"[1, 34, 13, 18, 30]",28,9
"[1, 34, 14, 28, 30]",41,7
"[0, 10, 13, 17]",23,10
"[1, 34, 13, 17]",9,4
"[1, 35]",288,71
"[2, 20, 16, 12, 8]",30,3
"[2, 20, 16, 15, 33]",15,3
"[2, 21, 33]",165,45
"[2, 20, 16, 12, 9]",8,3
"[2, 20, 18, 32, 27, 22]",1,2
"[3, 32, 27, 22]",310,81
"[2, 20, 16, 15]",4,1
"[2, 21]",46,11
"[4, 31, 16, 12, 8]",55,18
"[4, 31, 16, 15, 33]",28,12
"[4, 32, 26, 12, 8]",81,40
"[4, 32, 26, 15, 33]",41,12
"[4, 32, 27, 23, 8]",33,13
"[5, 37, 23, 8]",192,72
"[4, 32, 27, 22]",13,5
"[5, 37, 22]",97,39
"[4, 31, 16, 15]",15,1
"[4, 32, 26, 15]",25,4
"[6, 10, 13, 17, 19]",9,4
"[7, 24, 28, 29]",310,119
"[7, 24, 28, 31, 17, 19]",1,0
"[7, 24, 28, 30]",8,2
"[7, 25, 36]",102,22
"[6, 10, 13, 17]",199,63
"[7, 24, 28, 31, 17]",11,2
"[20, 16, 12, 8]",25,16
"[20, 16, 15, 33]",11,5
"[21, 33]",284,113
"[20, 16, 12, 9]",198,46
"[20, 18, 32, 27, 22]",12,2
"[20, 16, 15]",2,0
[21],58,26
"[34, 13, 17, 19]",4,0
"[35, 19]",46,10
"[34, 13, 18, 30]",15,2
"[34, 14, 28, 30]",25,10
"[34, 13, 17]",2,0
[35],58,15
